Organizador,Ano_Mes,Dia_da_Semana,Tipo_Dia,Objetivo,Date,AdSet_name,Amount_spent,Link_clicks,Impressions,Conversions,Segmentação,Tipo_de_Anúncio,Fase
1299,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,midfunnel_rmkt_60d_estatico_v1,28.25,22,1654,6,Remarketing_60dias,Estático,1º Lançamento | Leads
1669,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_cargos_tech_video_v1,6.30,7,409,1,Cargos_Tecnologia,Video,1º Lançamento | Leads
1785,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,midfunnel_rmkt_60d_estatico_v2,64.14,48,4739,13,Remarketing_60dias,Estático,1º Lançamento | Vendas
1791,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,midfunnel_rmkt_60d_estatico_v2,10.35,15,611,3,Remarketing_60dias,Estático,1º Lançamento | Leads
2641,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_lal1_clientes_estatico_v2,88.99,85,6075,14,LookALike_Clientes_1,Estático,1º Lançamento | Leads
3331,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_broad_tech_video_v1,11.86,20,934,2,Broad_Tecnologia,Video,1º Lançamento | Leads
3426,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_cargos_tech_video_v2,76.50,64,5227,11,Cargos_Tecnologia,Video,1º Lançamento | Leads
3642,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_interesses_cloud_video_v2,114.39,116,6331,10,Interesses_Cloud,Video,1º Lançamento | Leads
3747,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_broad_tech_estatico_v2,31.56,15,1706,1,Broad_Tecnologia,Estático,1º Lançamento | Leads
4781,2025 | Janeiro,Quarta-Feira,Dia útil,Awareness,2025-01-01,topfunnel_interesses_cloud_video_v1,34.29,11,1763,,Interesses_Cloud,Video,1º Lançamento | Live
5898,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_broad_tech_estatico_v2,27.09,15,1541,2,Broad_Tecnologia,Estático,1º Lançamento | Leads
1675,2025 | Janeiro,Quinta-Feira,Dia útil,Awareness,2025-01-02,topfunnel_interesses_programacao_video_v3,0.00,,0,,Interesses_Programacao,Video,1º Lançamento | Live
1763,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_interesses_programacao_video_v1,49.17,33,3462,6,Interesses_Programacao,Video,1º Lançamento | Leads
1939,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_cargos_tech_estatico_v1,93.69,57,8726,12,Cargos_Tecnologia,Estático,1º Lançamento | Leads
2165,2025 | Janeiro,Quinta-Feira,Dia útil,Awareness,2025-01-02,midfunnel_rmkt_60d_estatico_v2,16.20,5,789,,Remarketing_60dias,Estático,1º Lançamento | Live
