Organizador,Ano_Mes,Dia_da_Semana,Tipo_Dia,Objetivo,Date,AdSet_name,Amount_spent,Link_clicks,Impressions,Conversions,Segmentação,Tipo_de_Anúncio,Fase
1000,2025 | Novembro,Segunda-Feira,Dia útil,Leads,2025-11-24,midfunnel_rmkt_60d_video_v1,133.22,163,4032,7,Remarketing_60dias,Video,2º Lançamento | Leads
1001,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-17,midfunnel_rmkt_30d_video_v3,37.79,31,1179,2,Remarketing_30dias,Video,Campanha Contínua | Leads
1002,2025 | Maio,Sexta-Feira,Dia útil,Vendas,2025-05-23,topfunnel_lal1_compradores_video_v3,77.51,54,4239,12,LookALike_Compradores_1,Video,1º Lançamento | Vendas
1003,2025 | Fevereiro,Segunda-Feira,Dia útil,Leads,2025-02-17,bottomfunnel_visitantes_site_estatico_v1,132.03,208,4742,26,Visitantes_Site,Estático,Campanha Contínua | Leads
1004,2025 | Maio,Sábado,Final de semana,Vendas,2025-05-31,midfunnel_visitantes_site_carrossel_v3,14.85,16,457,4,Visitantes_Site,Carrossel,1º Lançamento | Vendas
1005,2025 | Fevereiro,Sexta-Feira,Dia útil,Leads,2025-02-21,topfunnel_lal2_leads_carrossel_v2,31.37,46,1483,9,LookALike_Leads_2,Carrossel,Campanha Contínua | Leads
1006,2025 | Novembro,Sexta-Feira,Dia útil,Leads,2025-11-28,topfunnel_cargos_dados_carrossel_v3,45.95,27,1830,7,Cargos_Dados,Carrossel,Campanha Contínua | Leads
1007,2025 | Outubro,Segunda-Feira,Dia útil,Leads,2025-10-13,midfunnel_visitantes_site_video_v1,145.4,42,6365,11,Visitantes_Site,Video,Campanha Contínua | Leads
1008,2025 | Junho,Quarta-Feira,Dia útil,Leads,2025-06-11,topfunnel_lal2_leads_estatico_v3,83.95,66,4716,11,LookALike_Leads_2,Estático,2º Lançamento | Leads
1009,2025 | Outubro,Segunda-Feira,Dia útil,Leads,2025-10-27,midfunnel_engajamento_ig_estatico_v1,92.94,48,8178,2,Engajamento_Instagram,Estático,Campanha Contínua | Leads
1010,2025 | Março,Domingo,Final de semana,Vendas,2025-03-23,midfunnel_engajamento_ig_carrossel_v2,70.24,40,1565,11,Engajamento_Instagram,Carrossel,1º Lançamento | Vendas
1011,2025 | Dezembro,Segunda-Feira,Dia útil,Vendas,2025-12-15,bottomfunnel_rmkt_60d_carrossel_v1,54.6,16,3941,3,Remarketing_60dias,Carrossel,Campanha Contínua | Vendas
1012,2025 | Maio,Quinta-Feira,Dia útil,Vendas,2025-05-15,topfunnel_cargos_dados_carrossel_v1,157.02,248,8245,47,Cargos_Dados,Carrossel,1º Lançamento | Vendas
1013,2025 | Julho,Sexta-Feira,Dia útil,Vendas,2025-07-11,topfunnel_lal1_compradores_carrossel_v2,89.23,138,7350,40,LookALike_Compradores_1,Carrossel,2º Lançamento | Vendas
1014,2025 | Maio,Sábado,Final de semana,Leads,2025-05-03,topfunnel_interesses_dados_video_v3,88.76,295,8404,69,Interesses_Dados,Video,1º Lançamento | Leads
1015,2025 | Dezembro,Quinta-Feira,Dia útil,Leads,2025-12-04,topfunnel_cargos_dados_estatico_v3,157.36,84,6651,14,Cargos_Dados,Estático,Campanha Contínua | Leads
